activity type;name;reference product;database;code;location;unit;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
;market for bottom ash, MSWI-WWT, WW from concrete production;bottom ash, MSWI-WWT, WW from concrete production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;756ee9686da450027528aa3d044f7628;GLO;kilogram;3821;Treatment and disposal of non-hazardous waste;3932;Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];AgriForeAnim;Agricultural and forestry products
;market for fluazifop-butyl;fluazifop-butyl;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b92a1496974d5921579e7df8c7c969ea;GLO;kilogram;2011;Manufacture of basic chemicals;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
;market for stalk;stalk;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;808f0bebcaf124ff0e28769ffb9e4d3a;GLO;kilogram;1311;Preparation and spinning of textile fibres;192;Fibre crops;;
;market for anode, silicon coated graphite, for Li-ion battery;anode, silicon coated graphite, for Li-ion battery;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fb1f00e0217d22678f267c677bc98633;RoW;kilogram;2720;Manufacture of batteries and accumulators;46950;Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];MachElecTrans;Metal/electronic equipments and parts
;market for limestone residue;limestone residue;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e12301e5d891bdf83e84b0b6d0191e7b;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for sesame seed;sesame seed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;f131e58b01d481dfa81f6ef6f8c63974;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1444;Sesame seed;OreMinFuel;Ores, minerals & fuels
;market for maintenance, stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;maintenance, stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;5ef8ce59a3b4e35da0e66e594ebc58d2;GLO;unit;3314;Repair of electrical equipment;87152;Maintenance and repair services of electrical machinery and apparatus n.e.c.;;
;market for cement mortar;cement mortar;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;03f7a5fab1bd41a3886556b000ee64c9;World;kilogram;2394;Manufacture of cement, lime and plaster;37;Glass and glass products and other non-metallic products n.e.c.;GlasNonMetal;Glass and other non-metallic products
;market for funnel glass, for cathode ray tube display;funnel glass, for cathode ray tube display;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;27f701452be69ef529a87361bcf2e5a6;GLO;kilogram;2310;Manufacture of glass and glass products;3719;Other glass articles;GlasNonMetal;Glass and other non-metallic products
;market for peanut;peanut;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;394fee340efc79ca725bbf0364fabe2d;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1422;Groundnuts, in shell;OreMinFuel;Ores, minerals & fuels
;market for wind turbine, 2MW, onshore;wind turbine, 2MW, onshore;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;3037e44d75408e3ac10411cd42c2d23f;GLO;unit;2811;Manufacture of engines and turbines, except aircraft, vehicle and cycle eng;53262;Power plants;;
;market for linseed seed, for sowing;linseed seed, for sowing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b335e6e5bf7ce5f2b7979c828379c5c3;GLO;kilogram;164;Seed processing for propagation;86112;Seed processing services;;
;market for water discharge from petroleum/natural gas extraction, onshore;water discharge from petroleum/natural gas extraction, onshore;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cf54c6b909ba08a1c893148bcb94d5db;GLO;kilogram;610;Extraction of crude petroleum;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for iron pellet;iron pellet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0409a01e5c245a0dc2ae585a86d38efc;GLO;kilogram;2410;Manufacture of basic iron and steel;41116;Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets[…];MetalAlloy;Basic metals & alloys, their semi-finished products
;market for used laptop computer;used laptop computer;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;671e514785046677f19d4764c36fe6db;GLO;kilogram;3830;Materials recovery;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for grass fibre;grass fibre;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c959cba3dc5d033e1f11f262672ab5bb;GLO;kilogram;2011;Manufacture of basic chemicals;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;market for spent catalytic converter NOx reduction;spent catalytic converter NOx reduction;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;34e762f4f29b67247d092678c6b295a9;GLO;kilogram;2394;Manufacture of cement, lime and plaster;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for silicon tetrachloride;silicon tetrachloride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2a8c9e314c3a23a5cf796f0e8595ee7f;RoW;kilogram;2011;Manufacture of basic chemicals;342;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
;market for biomethane, medium pressure, vehicle grade;biomethane, medium pressure, vehicle grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;539c211beecc4237d96ea968e53d83cf;RoW;kilogram;3520;"Manufacture of gas; distribution of gaseous fuels through mains";17200;Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons;OreMinFuel;Ores, minerals & fuels
;market for cable, ribbon cable, 20-pin, with plugs;cable, ribbon cable, 20-pin, with plugs;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;debab4413e58804821c02676c8ad8ca0;GLO;kilogram;2610;Manufacture of electronic components and boards;471;"Electronic valves and tubes; electronic components; parts thereof";MachElecTrans;Metal/electronic equipments and parts
;market for planning, heat and power co-generation unit, 160kW electrical;planning, heat and power co-generation unit, 160kW electrical;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fba031a8bbd9cdd535eb22e6e7b6abf8;GLO;unit;7110;Architectural and engineering activities and related technical consultancy;83;Professional, technical and business services (except research, development, legal and accounting services);;
;market for furnace, wood chips, hardwood storage area, 1000kW;furnace, wood chips, hardwood storage area, 1000kW;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;735ed83b260790bd631709fa25591669;GLO;unit;2815;Manufacture of ovens, furnaces and furnace burners;43420;"Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]";MachElecTrans;Metal/electronic equipments and parts
;market for natural gas, low pressure;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;63c1ac90c04ce17ee2378c39a2ce6849;RoW;cubic meter;3520;"Manufacture of gas; distribution of gaseous fuels through mains";69120;Gas distribution through mains (on own account);OreMinFuel;Ores, minerals & fuels
;market for maize seed, at farm;maize seed, at farm;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;033147584df1e5cf6f81512cf623dccd;GLO;kilogram;111;Growing of cereals (except rice), leguminous crops and oil seeds;1121;Maize (corn), seed;OreMinFuel;Ores, minerals & fuels
;market for cross-laminated timber;cross-laminated timber;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e495b85a7516ed20273027cd2e3804fe;RoW;cubic meter;1621;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
;market for willow stem cutting, for planting;willow stem cutting, for planting;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9781d93eb0f810fbd2d57aba4261a0b0;GLO;unit;130;Plant propagation;86119;Other support services to crop production;;
;market for sawnwood, board, hardwood, dried (u=20%), planed;sawnwood, board, hardwood, dried (u=20%), planed;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;18be3c05a471b6752fdf3a05b3246a31;RoW;cubic meter;1610;Sawmilling and planing of wood;31102;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood;ProcBio;Wood, straw & cork
;market for urea formaldehyde foam slab, hard;urea formaldehyde foam slab, hard;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;74427c594f33c53968bd6a33a1cebda2;GLO;kilogram;2220;Manufacture of plastics products;36920;Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics;PlastRub;Plastics & rubber products
;market for vinyl fluoride;vinyl fluoride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;993719fadf9615b45ca09a1401393b63;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for palm fruit bunch;palm fruit bunch;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b5931cc2f3f41e207813fb5d58e198f8;RoW;kilogram;126;Growing of oleaginous fruits;1491;Palm nuts and kernels;OreMinFuel;Ores, minerals & fuels
;market for heat carrier liquid, 40% C3H8O2;heat carrier liquid, 40% C3H8O2;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;7c33d2f6ee86f1fa188160b47c91bc82;RoW;cubic meter;3700;Sewerage;39990;Other wastes n.e.c.;AgriForeAnim;Agricultural and forestry products
;market for neodymium oxide;neodymium oxide;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;bfb5b92cc635472a79a03c702a79fd53;GLO;kilogram;729;Mining of other non-ferrous metal ores;3429;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
;market for raw sewage sludge;raw sewage sludge;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;d66537732c0f8b0b01a2c8b336802eff;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for wood preservation, dipping/immersion method, organic solvent-based, indoor use, occasionally wet;wood preservation, dipping/immersion method, organic solvent-based, indoor use, occasionally wet;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c32f11f12ae6adf77500f88f264e2916;GLO;kilogram;1610;Sawmilling and planing of wood;54730;Painting services;;
;market for wheat flour;wheat flour;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0982a449d98739d5d61cb7d81bf9cc36;RoW;kilogram;1061;Manufacture of grain mill products;23110;Wheat and meslin flour;ProcBio;Food & beverages, animal feed
;market for sewage sludge, 75% water, WWT, WW from GGBFS production;sewage sludge, 75% water, WWT, WW from GGBFS production;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;80c3037812b220db7c011c1338a6e771;RoW;kilogram;3821;Treatment and disposal of non-hazardous waste;39920;Sewage sludge;AgriForeAnim;Agricultural and forestry products
;market for computer, desktop, without screen;computer, desktop, without screen;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1a19e4ca2473d762a3b7b97455ca51a9;GLO;unit;2620;Manufacture of computers and peripheral equipment;45230;Automatic data processing machines, comprising in the same housing at least a central processing unit and an i[…];MachElecTrans;Metal/electronic equipments and parts
;market for iron sulfate;iron sulfate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;14925d340289f8d9800e4c0c91119632;RoW;kilogram;2011;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
;market for paper, woodcontaining, lightweight coated;paper, woodcontaining, lightweight coated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2dac070d17fb9e86ef8eb23b567657fb;RoW;kilogram;1701;Manufacture of pulp, paper and paperboard;321;Pulp, paper and paperboard;ProcBio;Pulp & paper
;market for concrete, 50MPa;concrete, 50MPa;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;28e171738d4c7eacdda08e946187f43d;RoW;cubic meter;2395;Manufacture of articles of concrete, cement and plaster;37510;Non-refractory mortars and concretes;GlasNonMetal;Glass and other non-metallic products
;market for corrugated board box;corrugated board box;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;b429b7efad1f2d6f493e1fbefce87d38;RoW;kilogram;1702;Manufacture of corrugated paper and paperboard and of containers of paper a;32153;Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…];ProcBio;Pulp & paper
;market for cement, CEM II/B-L;cement, CEM II/B-L;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c31b5d3ab56e4f0ca79b84a3ea5f374d;World;kilogram;2394;Manufacture of cement, lime and plaster;374;Plaster, lime and cement;GlasNonMetal;Glass and other non-metallic products
;market for yarn, kenaf;yarn, kenaf;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;1deb8c6691c4448d10b7c83adde3db1c;GLO;kilogram;1311;Preparation and spinning of textile fibres;26380;"Yarn of vegetable textile fibres other than cotton (including flax, jute, coir and true hemp); paper yarn";ProcBio;Textile
;market for natural stone plate, grounded;natural stone plate, grounded;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;ae02a6e720d34dafe4d7b23e483f37aa;GLO;kilogram;2396;Cutting, shaping and finishing of stone;37690;"Other worked monumental or building stone and articles thereof; other artificially coloured granules, chipping[…]";GlasNonMetal;Glass and other non-metallic products
;maize chop to generic market for energy feed;protein feed, 100% crude;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e9faa69206986064bd681e8650f61edf;RoW;kilogram;1080;Manufacture of prepared animal feeds;23319;Preparations used in animal feeding n.e.c.;ProcBio;Food & beverages, animal feed
;market for passenger car, petrol/natural gas;passenger car, petrol/natural gas;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fd9419bc14e077ca33133be02728da0a;GLO;kilogram;2910;Manufacture of motor vehicles;49113;Motor cars and other motor vehicles principally designed for the transport of persons (except public-transport[…];MachElecTrans;Transport vehicles
;market for insulated gate bipolar transistor, electric vehicle application;insulated gate bipolar transistor, electric vehicle application;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0935b911e932a1c7b2216f41f0409946;GLO;kilogram;2610;Manufacture of electronic components and boards;47150;"Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";MachElecTrans;Metal/electronic equipments and parts
;market for sodium perborate, monohydrate, powder;sodium perborate, monohydrate, powder;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;2beeaaafe05a7a5fe8fb8735deaef235;GLO;kilogram;2023;Manufacture of soap and detergents, cleaning and polishing preparations, pe;353;Soap, cleaning preparations, perfumes and toilet preparations;Chemical;Chemical products
;market for carboxymethyl cellulose, powder;carboxymethyl cellulose, powder;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;9e1ea123cafede6854349be65d2d8f1f;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
;market for hazardous waste, for underground deposit;hazardous waste, for underground deposit;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;10df4a7f7afe9d5d2caf03e73cd1e5ca;RoW;kilogram;3822;Treatment and disposal of hazardous waste;39;Wastes or scraps;AgriForeAnim;Agricultural and forestry products
;market for hydrogen, gaseous;hydrogen, gaseous;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;c83ccaeb957e10a44b7b02cc09d026ad;GLO;kilogram;1920;Manufacture of refined petroleum products;34210;"Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";Chemical;Chemical products
;market for metal working, average for steel product manufacturing;metal working, average for steel product manufacturing;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;e8e8ee58680aa78aca668910fd7805d3;GLO;kilogram;259;"Manufacture of other fabricated metal products; metalworking service activit";893;Casting, forging, stamping and similar metal manufacturing services;;
;market for oxalic acid;oxalic acid;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;cca06f330b2f0002b29e399f586471ef;GLO;kilogram;2011;Manufacture of basic chemicals;34140;Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […];Chemical;Chemical products
;market for ethyl benzene;ethyl benzene;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;0810326f53d2c4315c4c1eee2ba0f8d0;RoW;kilogram;2011;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
;market for dimethyl malonate;dimethyl malonate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2030;fa76f4da58fc1866ab2df987ba9df6df;GLO;kilogram;2011;Manufacture of basic chemicals;341;Basic organic chemicals;Chemical;Chemical products
